session_id,type,interval_seconds,interval_ns,clients,pop_count,has_popping
tmItiq8R8V7ISXCW1nbxcg,webext,20.0,20000000000,0,0,0
O0gv4KHd3Rpwe4xB7oeyRQ,webext,20.0,20000000000,0,0,0
Q+S0yqctdUyxk8dMACgRXw,webext,20.0,20000000000,0,0,0
urH6hYe2utIFYJ3WdoE/Rw,webext,20.0,20000000000,0,0,0
Iomlp5dhre0TZimmGRMr/w,webext,20.0,20000000000,0,0,0
IZIfieA+JuENBbEI68/tZQ,webext,20.0,20000000000,0,0,0
eLO0X2aYFdrelPRAUrVsgA,webext,20.0,20000000000,0,0,0
8/mZkpfBdbOZzxvh2EDkHw,webext,20.0,20000000000,0,0,0
S25jqT4AN3SwbrrXEDbx+g,webext,20.0,20000000000,0,0,0
vEouJ5YAf3J0FIsSVO5elw,webext,20.0,20000000000,0,0,0
4zYYGCxO7pDadkh6p2NEPA,webext,20.0,20000000000,0,0,0
mUhZ3oZ0RyYbOH7vOlQ/mg,webext,20.0,20000000000,0,0,0
CkDZs87jRfoUPUw4Sw8p/Q,webext,20.0,20000000000,0,0,0
dTm9YJH1YKp7X/qUDZUfhw,webext,20.0,20000000000,0,0,0
GPEhzQ0fMLullPkBPGhDXA,webext,20.0,20000000000,0,0,0
L4V62zclIVr1sz5MkGFevA,webext,20.0,20000000000,0,0,0
zl7L1ydO4hPw7Qx9tyQwug,webext,20.0,20000000000,0,0,0
h+nm23T+QuB3jyaSBs7Epg,webext,20.0,20000000000,0,0,0
OevC8crHJhKy6iIMZqPXTQ,webext,20.0,20000000000,0,0,0
JBlX34L5ugWIBdPZy+JFRw,webext,20.0,20000000000,0,0,0
E8iLvtUs5RF0X7JiyRuYOQ,webext,20.0,20000000000,0,0,0
YTizKzWG61gi85jKbdQE3Q,webext,20.0,20000000000,0,0,0
89T2T6aHNCr8q4uQ5RgT5g,webext,20.0,20000000000,0,0,0
nYV5QWQTtb9F7cFoyxkN8g,webext,20.0,20000000000,0,1,1
Skic2zOi35YqVDGh7aT9KA,webext,20.0,20000000000,0,0,0
v+GeqqkZttUWzkS6GPq2bA,webext,20.0,20000000000,0,0,0
UcII0ABgm4PkW5A7mmC8Tg,webext,20.0,20000000000,0,0,0
n7wquT8ikwdDLtHBhNqVbw,webext,20.0,20000000000,0,0,0
5EgK6OaQWRxKV7vkwgrv/w,webext,20.0,20000000000,0,0,0
+ElC0v4W1AIlJ/cal+oaUQ,webext,20.0,20000000000,0,0,0
PWr3bHm2eO9dWRubiZIY+A,webext,20.0,20000000000,0,0,0
/7abpYuHuBmhYTYi5R0Kfw,webext,20.0,20000000000,0,0,0
